fly_version,cmd_set,cmd_id,aliases,declaration_count
1.21.10,3,105,RTKSwitch | SetRTKState,2
1.21.10,3,106,GetPushAvoid | SetBatteryValidStste,2
1.21.10,3,156,WayPointMissionSetIdleSpeed | SetFlightIdleSpeed,2
